@RELATION linear
@ATTRIBUTE x1 real
@ATTRIBUTE x2 real
@ATTRIBUTE x3 real
@ATTRIBUTE y1 real
@ATTRIBUTE y2 real
@DATA
0.383,0.062,0.222,0.019,0.5185
0.12,0.608,0.19,-0.266,-0.143
0.57,0.541,0.375,0.7855,0.0565
0.343,0.609,0.188,0.1785,-0.0315
0.073,0.309,0.29,-0.4095,0.0825
0.353,0.199,0.363,0.1685,0.296
0.201,0.322,0.796,0.359,-0.1195
0.408,0.793,0.179,0.3915,-0.1785
0.339,0.854,0.739,0.844,-0.554
0.416,0.076,0.65,0.52,0.307
0.351,0.551,0.03,0.0075,0.1095
0.905,0.787,0.59,1.7935,-0.1295
0.272,0.57,0.49,0.319,-0.179
0.957,0.551,0.215,1.4045,0.32
0.936,0.716,0.382,1.612,0.061
0.828,0.995,0.557,1.7105,-0.3595
0.554,0.741,0.652,1.1305,-0.29
0.747,0.674,0.516,1.347,-0.0585
0.536,0.348,0.146,0.392,0.347
0.505,0.708,0.543,0.907,-0.227
0.251,0.463,0.083,-0.1835,0.121
0.29,0.4,0.807,0.587,-0.1585
0.867,0.221,0.634,1.4785,0.3955
0.424,0.016,0.191,0.047,0.6005
0.705,0.139,0.66,1.1395,0.3835
0.522,0.263,0.371,0.5465,0.3125
0.734,0.076,0.399,0.905,0.5915
0.876,0.688,0.927,2.023,-0.2135
0.235,0.788,0.66,0.524,-0.5005
0.601,0.232,0.034,0.352,0.5515
0.921,0.561,0.203,1.3255,0.298
0.494,0.839,0.35,0.7575,-0.267
0.187,0.25,0.582,0.081,0.0525
0.337,0.101,0.189,-0.0865,0.473
0.512,0.09,0.946,1.015,0.193
0.462,0.947,0.631,1.0285,-0.5315
0.361,0.73,0.308,0.395,-0.2035
0.213,0.833,0.545,0.3875,-0.499
0.543,0.01,0.095,0.186,0.714
0.665,0.919,0.787,1.5765,-0.48
0.083,0.032,0.335,-0.483,0.342
0.332,0.496,0.369,0.281,-0.0145
0.572,0.154,0.692,0.913,0.286
0.358,0.792,0.214,0.326,-0.22
0.694,0.454,0.876,1.491,-0.045
0.433,0.634,0.463,0.646,-0.149
0.751,0.825,0.493,1.4075,-0.196
0.563,0.906,0.411,0.99,-0.33
0.252,0.623,0.432,0.2475,-0.213
0.473,0.687,0.749,1.0385,-0.325
0.008,0.625,0.715,0.0435,-0.4785
0.456,0.137,0.277,0.2575,0.4525
0.147,0.701,0.911,0.5555,-0.583
0.346,0.059,0.854,0.5755,0.187
0.396,0.222,0.751,0.654,0.1005
0.615,0.256,0.633,0.991,0.235
0.774,0.588,0.762,1.604,-0.082
0.622,0.521,0.826,1.3305,-0.123
0.117,0.868,0.943,0.611,-0.781
0.118,0.387,0.426,-0.1445,-0.041
0.35,0.275,0.844,0.6815,-0.022
0.657,0.273,0.809,1.2595,0.151
0.817,0.89,0.693,1.772,-0.328
0.901,0.426,0.57,1.585,0.2395
0.92,0.983,0.686,2.0175,-0.366
0.442,0.869,0.118,0.4365,-0.207
0.672,0.29,0.807,1.296,0.1425
0.681,0.116,0.434,0.854,0.5075
0.266,0.488,0.165,-0.059,0.0625
0.326,0.622,0.198,0.161,-0.058
0.94,0.428,0.368,1.462,0.358
0.669,0.395,0.719,1.2545,0.08
0.409,0.429,0.649,0.6815,-0.049
0.164,0.461,0.077,-0.3645,0.0825
0.826,0.61,0.722,1.679,-0.058
0.469,0.923,0.233,0.6325,-0.305
0.009,0.714,0.16,-0.465,-0.2895
0.828,0.533,0.069,0.9915,0.3465
0.725,0.866,0.764,1.647,-0.3855
0.148,0.763,0.534,0.2115,-0.456
0.194,0.205,0.423,-0.0865,0.1805
0.592,0.144,0.683,0.939,0.3105
0.411,0.459,0.601,0.6525,-0.054
0.022,0.416,0.629,-0.119,-0.2195
0.05,0.46,0.177,-0.493,-0.0235
0.593,0.339,0.554,0.9095,0.1805
0.624,0.688,0.565,1.157,-0.1585
0.432,0.904,0.296,0.612,-0.336
0.733,0.286,0.704,1.313,0.2285
0.797,0.314,0.046,0.797,0.5615
0.858,0.791,0.231,1.3425,0.0225
0.289,0.322,0.201,-0.06,0.222
0.778,0.073,0.354,0.9465,0.639
0.43,0.303,0.128,0.1395,0.348
0.394,0.125,0.793,0.6435,0.1755
0.57,0.541,0.127,0.5375,0.1805
0.683,0.186,0.459,0.918,0.426
0.388,0.712,0.222,0.354,-0.129
0.243,0.552,0.658,0.42,-0.2595
0.589,0.152,0.6,0.854,0.3425
0.261,0.629,0.023,-0.1405,-0.01
0.025,0.178,0.529,-0.332,0.07
0.471,0.268,0.568,0.644,0.1835
0.424,0.877,0.221,0.5075,-0.2755
0.277,0.088,0.789,0.387,0.156
0.378,0.326,0.469,0.388,0.1285
0.406,0.819,0.792,1.0135,-0.512
0.884,0.726,0.43,1.561,0.001
0.425,0.539,0.422,0.5415,-0.0375
0.668,0.67,0.64,1.311,-0.156
0.385,0.731,0.02,0.1555,-0.0485
0.629,0.634,0.753,1.328,-0.196
0.764,0.821,0.976,1.9145,-0.427
0.728,0.116,0.426,0.94,0.535
0.655,0.182,0.356,0.757,0.4675
0.953,0.024,0.094,1.012,0.9055
0.954,0.14,0.833,1.811,0.4205
0.978,0.523,0.797,2.0145,0.0675
0.5,0.225,0.759,0.8715,0.1455
0.976,0.715,0.909,2.2185,-0.1815
0.039,0.575,0.454,-0.1805,-0.2825
0.526,0.008,0.816,0.872,0.347
0.331,0.217,0.565,0.3355,0.166
0.587,0.483,0.271,0.6865,0.175
0.177,0.84,0.952,0.726,-0.7275
0.535,0.041,0.723,0.8135,0.365
0.924,0.495,0.563,1.6585,0.1855
0.322,0.956,0.521,0.643,-0.5555
0.493,0.242,0.72,0.827,0.1445
0.761,0.293,0.545,1.2135,0.315
0.576,0.734,0.091,0.61,0.0085
0.653,0.734,0.411,1.084,-0.113
0.989,0.394,0.864,2.039,0.1685
0.235,0.784,0.476,0.338,-0.4045
0.126,0.482,0.536,0.029,-0.187
0.945,0.488,0.077,1.211,0.446
0.749,0.989,0.406,1.3985,-0.3175
0.99,0.835,0.758,2.1555,-0.219
0.896,0.455,0.728,1.7475,0.129
0.06,0.512,0.58,-0.044,-0.272
0.733,0.643,0.369,1.1565,0.039
0.855,0.154,0.703,1.49,0.422
0.796,0.081,0.381,1.0135,0.6265
0.65,0.264,0.908,1.34,0.107
0.314,0.569,0.894,0.8065,-0.359
0.076,0.58,0.824,0.266,-0.454
0.184,0.629,0.01,-0.3075,-0.042
0.935,0.79,0.237,1.502,0.059
0.893,0.764,0.39,1.558,-0.0125
0.416,0.169,0.82,0.7365,0.129
0.937,0.105,0.421,1.3475,0.653
0.452,0.435,0.088,0.2095,0.247
0.783,0.068,0.253,0.853,0.697
0.751,0.013,0.553,1.0615,0.586
0.016,0.417,0.141,-0.6185,0.0205
0.568,0.766,0.049,0.568,-0.0065
0.918,0.004,0.885,1.723,0.5125
0.928,0.715,0.984,2.1975,-0.243
0.335,0.856,0.235,0.333,-0.306
0.386,0.277,0.685,0.5955,0.0735
0.833,0.662,0.764,1.761,-0.1275
0.085,0.686,0.616,0.129,-0.4515
0.279,0.17,0.635,0.278,0.152
0.637,0.462,0.627,1.132,0.043
0.116,0.946,0.213,-0.082,-0.4945
0.199,0.748,0.937,0.709,-0.617
0.807,0.563,0.896,1.7915,-0.1075
0.582,0.225,0.649,0.9255,0.2415
0.281,0.213,0.668,0.3365,0.0935
0.714,0.234,0.612,1.157,0.317
0.166,0.545,0.743,0.3475,-0.3335
0.247,0.484,0.094,-0.17,0.0925
0.125,0.164,0.155,-0.513,0.321
0.732,0.798,0.69,1.553,-0.277
0.724,0.114,0.601,1.106,0.4475
0.138,0.403,0.26,-0.2625,0.036
0.155,0.777,0.881,0.5795,-0.64
0.422,0.472,0.925,1.005,-0.2235
0.022,0.123,0.449,-0.4455,0.1635
0.667,0.235,0.289,0.7405,0.454
0.243,0.842,0.546,0.453,-0.4935
0.497,0.436,0.82,1.032,-0.0975
0.607,0.152,0.32,0.61,0.4915
0.765,0.703,0.089,0.9705,0.135
0.463,0.032,0.843,0.785,0.278
0.897,0.828,0.967,2.175,-0.363
0.815,0.612,0.717,1.653,-0.063
0.99,0.307,0.983,2.1165,0.1965
0.79,0.705,0.919,1.8515,-0.2695
0.721,0.464,0.339,1.013,0.227
0.424,0.293,0.357,0.3515,0.2405
0.059,0.06,0.509,-0.343,0.215
0.491,0.315,0.035,0.1745,0.413
0.44,0.21,0.392,0.377,0.314
0.344,0.481,0.189,0.1175,0.0965
0.144,0.691,0.391,0.0245,-0.3145
0.388,0.14,0.447,0.293,0.3305
0.969,0.536,0.149,1.355,0.374
0.576,0.475,0.447,0.8365,0.0895
0.749,0.274,0.449,1.084,0.376
0.612,0.884,0.759,1.425,-0.4575
0.903,0.536,0.745,1.819,0.043
0.987,0.83,0.704,2.093,-0.1885
0.232,0.231,0.674,0.2535,0.048
0.599,0.176,0.394,0.68,0.4265
0.801,0.307,0.146,0.9015,0.5205
0.269,0.074,0.696,0.271,0.2125
0.407,0.581,0.532,0.6365,-0.1435
0.526,0.213,0.439,0.5975,0.3305
0.438,0.948,0.632,0.982,-0.545
0.485,0.376,0.584,0.742,0.0745
0.498,0.564,0.149,0.427,0.1105
0.27,0.202,0.886,0.527,-0.01
0.559,0.051,0.277,0.4205,0.59
0.571,0.908,0.47,1.066,-0.3575
0.987,0.183,0.34,1.4055,0.6405
0.764,0.411,0.089,0.8225,0.4265
0.908,0.718,0.894,2.069,-0.211
0.463,0.585,0.993,1.2115,-0.35
0.919,0.66,0.744,1.912,-0.0725
0.678,0.061,0.603,0.9895,0.4765
0.131,0.878,0.196,-0.103,-0.4105
0.344,0.975,0.751,0.9265,-0.6785
0.772,0.938,0.873,1.886,-0.4885
0.37,0.86,0.704,0.874,-0.527
0.006,0.417,0.055,-0.7245,0.0585
0.477,0.315,0.504,0.6155,0.1715
0.78,0.613,0.505,1.3715,0.0245
0.787,0.824,0.518,1.504,-0.1895
0.152,0.169,0.613,0.0015,0.1005
0.94,0.639,0.207,1.4065,0.2275
0.689,0.344,0.267,0.817,0.367
0.382,0.994,0.432,0.693,-0.519
0.215,0.516,0.772,0.46,-0.2945
0.774,0.62,0.685,1.543,-0.0755
0.86,0.772,0.092,1.198,0.112
0.486,0.047,0.294,0.2895,0.549
0.716,0.174,0.0,0.519,0.684
0.631,0.033,0.561,0.8395,0.502
0.768,0.853,0.804,1.7665,-0.371
0.66,0.224,0.397,0.829,0.4075
0.607,0.767,0.331,0.9285,-0.129
0.259,0.38,0.967,0.675,-0.234
0.695,0.37,0.183,0.758,0.386
0.704,0.704,0.052,0.812,0.122
0.437,0.306,0.648,0.675,0.0885
0.425,0.594,0.605,0.752,-0.184
0.911,0.247,0.321,1.2665,0.548
0.65,0.171,0.804,1.1895,0.252
0.448,0.004,0.718,0.616,0.361
0.376,0.084,0.752,0.546,0.228
0.922,0.923,0.19,1.4955,-0.057
0.319,0.373,0.975,0.7995,-0.201
0.206,0.276,0.598,0.148,0.028
0.719,0.294,0.606,1.191,0.2625
